xa60,xb60,y,Apr,Mar,Sep,Oct,Jun,May,Aug,Feb,Dec,Nov,Jul,Jan,Tue,Thu,Mon,Wed,Fri,Sat,Sun
0.10874,-0.5598151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1475289,-0.5468164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2159983,-0.5602659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1741853,-0.5052633,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2380392,-0.4518088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2289008,-0.4399213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.2696315,-0.3845818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2313468,-0.3550284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1210665,-0.3236457,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.1587581,-0.2816648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.04362291,-0.2694688,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.03000802,-0.2119057,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02629631,-0.1658621,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.05173953,-0.1234431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.01995127,-0.1084832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.01093187,-0.1135342,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.004431787,-0.1320629,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.07135953,-0.1518347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1180307,-0.1376145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1280451,-0.1085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.112518,-0.08835869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.133881,-0.04368621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.06849537,0.02343833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.09349282,0.07483423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0432476,0.09293439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.1297326,0.07887992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06330498,0.06765203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.134656,0.04539008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.200912,0.02672589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1622701,0.01535382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2989239,0.01363363,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.2709477,-0.0003466533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3775829,-0.04151431,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4734766,-0.1110217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.3629599,-0.1713457,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4362931,-0.2097172,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3680916,-0.2406135,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2966697,-0.2257533,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
