xa10,xb10,y,Jan,Dec,Mar,Feb,Apr,May,Sep,Jun,Aug,Jul,Nov,Oct,Tue,Mon,Thu,Sun,Fri,Sat,Wed
1,1.930577e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.683096e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.604927e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.61722e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.642285e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1.597136e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1.577605e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.641558e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.577029e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1.548829e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1.584148e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.745402e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.826115e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.916817e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2.103917e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,2.186664e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.139668e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1.994157e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1.946713e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.897506e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.804974e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.732885e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1.688869e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.689957e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1.754649e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1.800659e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.892141e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.901175e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.995394e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1.990419e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.860932e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.752749e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1.729338e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1.812502e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.779197e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.722623e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1.71756e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1.712364e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.710018e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.733286e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1.861217e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.978932e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.993457e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.966661e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,2.046637e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2.035149e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1.987824e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.904197e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1.937983e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.95468e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.863007e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1.811297e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.714554e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.802056e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.852315e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.981094e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2.062465e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2.234557e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,2.419445e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.43336e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.308791e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,2.291267e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2.456875e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2.601892e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2.470203e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.374334e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2.377452e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.442963e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.415684e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.388143e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.561453e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,2.599529e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.612226e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2.55798e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.585557e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,2.558393e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2.437452e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
